,id,age,checking_status,class,credit_amount,credit_history,duration,employment,existing_credits,feat01,feat02,feat03,feat04,feat05,feat06,feat07,feat08,feat09,feat10,foreign_worker,housing,installment_commitment,job,num_dependents,other_parties,other_payment_plans,own_telephone,personal_status,property_magnitude,purpose,residence_since,savings_status
968,969,27,-1,0,3041,'existing paid',15,1,2,0.3702877322398286,0.6153978844995198,1.3149229507914573,0.746197139681726,0.8416157752601747,0.7471001739231222,0.3309067938637634,1.1286684077496507,0.7865526565238576,0.5327220486074413,yes,own,2,'unskilled resident',1,none,bank,none,'male single','life insurance',furniture/equipment,3,'<100'
240,241,25,-1,0,5447,'critical/other existing credit',30,7,2,0.6403474982733608,0.7183677089566112,1.2271279343269232,1.397924115824154,1.0350409337262594,1.106092130405207,1.0889175230752386,0.8219451860902564,0.8054927208965651,0.6915812044013397,yes,own,4,skilled,1,none,none,none,'female div/dep/mar',car,radio/tv,2,'<100'
819,820,25,200,1,1383,'existing paid',12,1,1,0.3216043694846142,0.4340528344941556,1.0687074168711108,0.7586563130615097,0.8354425384150468,1.2662801988756949,0.8644894586299554,1.4994106458364795,1.4271327476502829,0.1898730613326233,yes,rent,3,skilled,1,none,none,none,'female div/dep/mar',car,'new car',1,'<100'
692,693,37,200,0,4537,'delayed previously',24,4,2,0.3180487084940072,0.5153623352060436,1.3015653307877306,0.9943005531177382,0.6640396293705957,0.9439103952586524,0.7392410964616762,1.3516696102086696,0.9943575208070894,0.555308666446497,yes,own,4,'high qualif/self emp/mgmt',1,none,bank,yes,'male single','life insurance',business,2,'no known savings'
420,421,24,200,1,6356,'existing paid',48,7,1,0.6634484452197474,0.4465184593404992,1.445595606404516,1.2248223972875445,0.8383200819775118,1.0669885616541557,1.3160022226379335,0.6083116714554623,0.6045955667750085,0.4993666412513673,yes,own,3,skilled,1,none,none,none,'male single','life insurance','new car',2,'100<=X<500'
1085,1086,51,-1,0,2735,'existing paid',9,10,1,0.3773094706931651,0.5838858352040153,1.432126217956297,1.5525682339206264,0.849491377350087,1.588817017285802,0.9091028348141644,1.4625011844432676,1.0615592295832257,0.4454834767301076,yes,'for free',2,'unskilled resident',1,none,none,none,'male single','no known property','new car',4,'500<=X<1000'
1998,1999,39,-1,0,1637,'existing paid',12,10,1,0.4626089909686105,0.5191584879040309,0.6204292446458018,0.5746305373529351,1.2155881710148206,0.8179834001000663,0.6403424350657303,1.1838380815048524,0.7530615701177217,0.2816540433282191,yes,own,4,'high qualif/self emp/mgmt',1,none,none,yes,'male single',car,'new car',4,'<100'
365,366,23,200,1,1010,'existing paid',24,1,1,0.5066896271679918,0.4035429344465988,1.3373419863120837,1.1047005999935042,0.8018758769737423,1.1930827434538454,1.006283469757947,1.308274352789109,0.8643351147526945,0.4053662896780483,yes,own,4,'unskilled resident',1,none,stores,none,'male single','real estate','new car',2,'<100'
1022,1023,41,0,0,613,'existing paid',6,1,1,0.1988328153512085,0.5980929890741127,1.6781467667233012,1.0504336913763428,0.7707685704337557,0.8559164136868929,0.4290093328105209,0.6406474873275871,1.2289492364160797,0.546819899453532,yes,own,3,'unskilled resident',2,none,none,yes,'male single','real estate','new car',4,'<100'
1240,1241,41,-1,1,2685,'delayed previously',21,1,1,0.5392547963490558,0.513967662457641,0.329080717009077,0.7134455044037771,0.6532843914938788,0.8689347771608258,0.8460797626994416,1.035787876475934,0.9911921751077224,0.6259335497120129,yes,own,4,'unskilled resident',2,none,bank,none,'male single','real estate',business,2,'500<=X<1000'
588,589,32,0,1,1573,'all paid',18,7,2,0.4800062767180882,0.5503450173545381,0.2308731058314294,1.5882386044467465,0.7353147260814596,1.0103134161409275,0.8238200549313055,1.2192755264848891,1.3609338079096038,0.5246913206960399,yes,'for free',4,'unskilled resident',2,none,none,none,'male single','no known property','new car',4,'<100'
736,737,34,0,1,3814,'existing paid',42,1,1,0.6083160679916506,0.3510141384463032,1.4794434586481535,1.111010407822942,1.3587687167237652,0.8797730985764941,0.999922092034272,1.4491164726941372,1.3084500168635205,0.5782550648749845,yes,own,4,skilled,1,none,none,none,'male single',car,radio/tv,3,'<100'
1761,1762,23,-1,1,7136,'critical/other existing credit',36,1,2,0.3831978306867923,0.4658213903888903,1.2377283936731596,0.5223420845442814,0.590524828817577,1.097839901463446,1.1254799623359897,0.9170233335406142,1.3388971882655571,0.6077317070243351,yes,rent,2,skilled,1,none,none,yes,'female div/dep/mar','life insurance',furniture/equipment,4,'<100'
